timestamp,vehicle_id,X_vehicle_position,Y_vehicle_position,vehicle_speed,vehicle_acceleration,traffic_light_state,front_vehicle_id,lane_id,intersction_id,lanes_leading_1,lanes_leading_2,vehicle_length,Gap,vehicle_arrangement,lane_length,number_of_vehical_on_lane,number_of_places_available_in_lane,num_veh_neighbor_lane,num_veh_neighbor_lane_2,avg_speed_veh_neighbor_lane,avg_acceleration_veh_neighbor_lane,angle_movment,number_of_vehicles_moving_from_1,number_of_vehicles_moving_from_2,start_lane,end_lane
85,Veh7801ed84-4d90-4695-9145-8f5ecb1a68b2,198.4,44.20730805278283,0.0,0.0,0,Vehc5a07c5a-af69-4b11-b19f-79d37a63c309,-E10_0,0,-E12_0,-E13_0,4.7,1.3,6,185.6,12,18.0,14,13,0.0,-8.216358407731484e-06,180.0,7,6,"(198.4, 7.2)","(198.4, 192.8)"
85,Veh787b1aba-7003-45ee-87d4-846f53086cb2,198.4,-191.7989388131636,0.0,0.0,0,Veh5be05a27-0658-44a1-b2bf-bac93a62d5e8,E8_0,3,-E10_0,-E22_0,4.7,1.3,0,185.6,13,17.0,12,0,0.0003483349997189372,-0.001302448926004994,180.0,6,0,"(198.4, -192.8)","(198.4, -7.2)"
85,Veh78a180c4-2a23-401c-afdd-e6f4c561eebb,-1.6,44.20718035512955,0.0,0.0,0,Veh50433747-8b60-47f1-a453-bf83f2f0e78d,-E23_0,4,-E34_0,E33_0,4.7,1.3,6,81.07,12,1.0,3,13,13.741542151889197,1.5097771904328336,180.0,1,6,"(-1.6, 7.2)","(-1.6, 88.27)"
85,Veh7a0f1299-ae24-4350-8d48-03f372bb5d5d,215.8654143882937,-198.4,13.38,1.3412796856415348,2,Veh2afaec20-4190-401e-9740-8e71ff62bf68,-E20_0,3,-E27_0,E26_0,4.7,1.3,1,81.07,10,3.0,13,18,1.6969003525370339,-0.24547512902104413,270.0,6,9,"(207.2, -198.4)","(288.27, -198.4)"
85,Veh7ada5bc1-0bd1-4895-8e3a-a83ed76d3682,-1.6,50.20825381355052,0.0,0.0,0,Veh78a180c4-2a23-401c-afdd-e6f4c561eebb,-E23_0,4,-E34_0,E33_0,4.7,1.3,7,81.07,12,1.0,3,13,13.741542151889197,1.5097771904328336,180.0,1,6,"(-1.6, 7.2)","(-1.6, 88.27)"
85,Veh7aeb0fbc-09d7-45f1-9e7f-ab19e9c433e1,50.20826260961783,1.6,0.0,0.0,2,Vehdf9b6039-bdde-4998-886c-84b53771bc74,E9_0,4,-E10_0,-E14_0,4.7,1.3,7,185.6,28,2.0,12,10,0.0003483349997189372,-0.001302448926004994,270.0,6,5,"(7.2, 1.6)","(192.8, 1.6)"
85,Veh7aefdf2e-7b84-460c-a81c-69f0e748d56d,401.6,-25.58952396633253,0.0,0.0,0,Veh27c4e43c-37a3-4535-9550-c85621c62dd5,-E17_0,2,-E28_0,E27_0,4.7,1.3,3,81.07,14,-1.0,11,10,1.7247767550426252,0.16308511765303485,0.0,5,5,"(401.6, -7.2)","(401.6, -88.27)"
85,Veh7d191b55-1840-441a-9a50-7bb6f2fe852f,401.6,-85.60008770183224,0.0,0.0,0,Veh462abcab-26bf-4162-a2ee-7e00a8f8e3d1,-E17_0,2,-E28_0,E27_0,4.7,1.3,13,81.07,14,-1.0,11,10,1.7247767550426252,0.16308511765303485,1.13,5,5,"(401.6, -7.2)","(401.6, -88.27)"
85,Veh7e312417-e99c-4fd2-86f8-ea9b707beec5,128.22168470450055,1.6,0.0,-0.0008624597681132399,2,Veh8167f5a0-66f9-49e8-b172-48bae6d9f28c,E9_0,4,-E10_0,-E14_0,4.7,1.3,20,185.6,28,2.0,12,10,0.0003483349997189372,-0.001302448926004994,270.0,6,5,"(7.2, 1.6)","(192.8, 1.6)"
85,Veh7fc2793c-a5ae-4d20-8b06-235e067f073f,398.4,80.21351769883233,0.0,0.0,0,Veh37f6e470-8fc2-48ef-8efa-b942d514e5be,-E15_0,2,-E30_0,E29_0,4.7,1.3,12,81.07,14,-1.0,13,10,1.363438974795204,-0.25478476427265234,180.0,6,5,"(398.4, 7.2)","(398.4, 88.27)"
85,Veh8167f5a0-66f9-49e8-b172-48bae6d9f28c,122.22062322703341,1.6,0.0,-0.0001729759849394263,2,Veheadc6888-f4df-4e45-9c8b-474974cca4a0,E9_0,4,-E10_0,-E14_0,4.7,1.3,19,185.6,28,2.0,12,10,0.0003483349997189372,-0.001302448926004994,270.0,6,5,"(7.2, 1.6)","(192.8, 1.6)"
85,Veh8220cecf-5952-4980-b40d-34e2a0071580,92.21544742228208,1.6,0.0,0.0,2,Veh5ad60f95-7bc3-449f-927e-7fbcf943bb78,E9_0,4,-E10_0,-E14_0,4.7,1.3,14,185.6,28,2.0,12,10,0.0003483349997189372,-0.001302448926004994,270.0,6,5,"(7.2, 1.6)","(192.8, 1.6)"
85,Veh85f1813f-0927-4e8b-8e8a-c4e3135eee3e,201.6,137.78975152529824,0.0,0.0,0,Vehc3731a4c-acec-4b6c-a0bf-97da81c57c96,E6_0,1,-E14_0,-E18_0,4.7,1.3,9,185.6,16,14.0,10,8,6.2043661953910245,-0.10883624220932356,0.0,5,4,"(201.6, 192.8)","(201.6, 7.2)"
85,Veh867ad122-2325-4f93-add7-90e5cc622543,398.4,14.202150787840353,0.0,0.0,0,Vehe1c70f66-7716-40fe-a194-cbb31f7852ad,-E15_0,2,-E30_0,E29_0,4.7,1.3,1,81.07,14,-1.0,13,10,1.363438974795204,-0.25478476427265234,180.0,6,5,"(398.4, 7.2)","(398.4, 88.27)"
85,Veh87681c0d-c112-42ad-b77f-6c3822a80860,198.4,214.20204754682746,0.0,0.0,0,Vehc852c64e-3558-4309-8632-760d633a19c7,-E13_0,1,-E32_0,E31_0,4.7,1.3,1,81.07,13,0.0,3,7,10.101256123843802,0.29341495089220054,180.0,1,3,"(198.4, 207.2)","(198.4, 288.27)"
85,Veh8835625f-0395-40c9-814c-443ad3886da5,201.6,-274.21242090619546,0.0,0.0,0,Veh3d6f23bf-8528-4e1e-a895-8ffb510c06e2,-E19_0,3,-E26_0,E22_0,4.7,1.3,11,81.07,14,-1.0,5,2,0.027571466053773686,-0.054567677921449224,0.0,2,1,"(201.6, -207.2)","(201.6, -288.27)"
85,Veh8a0725d5-c237-4bb0-b839-b24086eee819,398.4,50.20832596943708,0.0,0.0,0,Veh37d00633-a25c-41aa-8a30-51a9c7dbe1eb,-E15_0,2,-E30_0,E29_0,4.7,1.3,7,81.07,14,-1.0,13,10,1.363438974795204,-0.25478476427265234,180.0,6,5,"(398.4, 7.2)","(398.4, 88.27)"
85,Veh8b33b34b-0752-4c49-b180-a2a0bdfb1441,-1.6,26.204115276729333,0.0,0.0,0,Vehf50efdcf-cbe9-4d7f-8ead-80ef9e5271b0,-E23_0,4,-E34_0,E33_0,4.7,1.3,3,81.07,12,1.0,3,13,13.741542151889197,1.5097771904328336,180.0,1,6,"(-1.6, 7.2)","(-1.6, 88.27)"
85,Veh8da5a250-dd50-404c-85e5-80d01e0dea84,74.2124035491003,1.6,0.0,0.0,2,Veh6c6262c4-9242-46a1-9ab0-f49e07ca1995,E9_0,4,-E10_0,-E14_0,4.7,1.3,11,185.6,28,2.0,12,10,0.0003483349997189372,-0.001302448926004994,270.0,6,5,"(7.2, 1.6)","(192.8, 1.6)"
85,Veh8e80e552-8932-4fd7-a4ce-26311c2cda1f,319.786433105206,-1.6,0.0,0.0,2,Veh2763d113-8ce1-4015-b443-d6ae1d20a7c6,E7_0,2,-E18_0,-E22_0,4.7,1.3,12,185.6,13,17.0,8,0,1.6239351737832335,-0.026821755652781665,90.0,4,0,"(392.8, -1.6)","(207.2, -1.6)"
85,Veh8ee8d5d2-6c32-4f27-88b2-1d7dba3fb0e9,198.4,238.20627669925213,0.0,0.0,0,Veh5c3b309a-eeb7-4bca-9c4c-4e9170e6a9ac,-E13_0,1,-E32_0,E31_0,4.7,1.3,5,81.07,13,0.0,3,7,10.101256123843802,0.29341495089220054,180.0,1,3,"(198.4, 207.2)","(198.4, 288.27)"
85,Veh8f30d07d-4616-4997-b9de-a0c835ba34b9,198.4,-137.78952547775822,0.0,-0.000666992695361134,0,Veh76a3ff03-b3fc-41ef-9b5a-abc6427d7287,E8_0,3,-E10_0,-E22_0,4.7,1.3,9,185.6,13,17.0,12,0,0.0003483349997189372,-0.001302448926004994,180.0,6,0,"(198.4, -192.8)","(198.4, -7.2)"
85,Veh91edb8e3-4ee6-4d75-b13b-f7bc1fcfc039,201.6,-238.2061590061984,0.0,0.0,0,Veh723a717c-4ad5-46e1-a067-7f9c89d453fe,-E19_0,3,-E26_0,E22_0,4.7,1.3,5,81.07,14,-1.0,5,2,0.027571466053773686,-0.054567677921449224,0.0,2,1,"(201.6, -207.2)","(201.6, -288.27)"
85,Veh926874e9-498e-4c91-9208-8b1f2bed4aac,232.20521729809184,201.6,0.0,-0.0001322397092744394,2,Veh4cbafe4a-e48a-403b-8cc9-cf5bc35a899d,-E11_0,1,-E31_0,E30_0,4.7,1.3,4,81.07,10,3.0,3,19,8.992553251913543,-1.1824264230096109,270.0,1,9,"(207.2, 201.6)","(288.27, 201.6)"
85,Veh94b352bb-41ed-4803-b445-9a49aaba85a4,243.91747493448904,-198.4,7.35,0.23793467620808073,2,Veh59619930-59d4-4b0e-b587-332213dfbcd4,-E20_0,3,-E27_0,E26_0,4.7,1.3,4,81.07,10,3.0,13,18,1.6969003525370339,-0.24547512902104413,270.0,6,9,"(207.2, -198.4)","(288.27, -198.4)"
85,Veh96442db9-21fc-4775-a8a2-f654ad4990d6,143.79077099934304,198.4,0.0,0.0,2,Vehc58ea9be-34a5-4cb1-850b-00e5bc054e16,-E12_0,1,-E33_0,E32_0,4.7,1.3,8,81.07,14,-1.0,8,17,0.09794890302766926,-0.20923758719603364,90.0,4,8,"(192.8, 198.4)","(111.73, 198.4)"
85,Veh9873e2ab-01e9-4b88-9a37-60951396f892,185.7979514321147,198.4,0.0,0.0,2,Veh581badfd-ec96-44bc-a352-900454739509,-E12_0,1,-E33_0,E32_0,4.7,1.3,1,81.07,14,-1.0,8,17,0.09794890302766926,-0.20923758719603364,90.0,4,8,"(192.8, 198.4)","(111.73, 198.4)"
